Subject,ROI,Cluster,ACW_s,ACW_grand_mean_s,Condition
sub-001,bankssts-lh,1,0.016082114361702128,0.02082325918762089,EC
sub-001,bankssts-rh,1,0.018824800531914893,0.02082325918762089,EC
sub-001,caudalmiddlefrontal-lh,3,0.016747007978723406,0.02082325918762089,EC
sub-001,caudalmiddlefrontal-rh,3,0.020819481382978722,0.02082325918762089,EC
sub-001,cuneus-lh,1,0.021983045212765957,0.02082325918762089,EC
sub-001,cuneus-rh,1,0.022190824468085107,0.02082325918762089,EC
sub-001,frontalpole-lh,3,0.010014960106382979,0.02082325918762089,EC
sub-001,frontalpole-rh,3,0.009931848404255319,0.02082325918762089,EC
sub-001,fusiform-lh,1,0.01566655585106383,0.02082325918762089,EC
sub-001,fusiform-rh,1,0.027883976063829786,0.02082325918762089,EC
sub-001,inferiorparietal-lh,2,0.06461934840425532,0.02082325918762089,EC
sub-001,inferiorparietal-rh,2,0.023977726063829786,0.02082325918762089,EC
sub-001,inferiortemporal-lh,1,0.015126329787234043,0.02082325918762089,EC
sub-001,inferiortemporal-rh,1,0.02356216755319149,0.02082325918762089,EC
sub-001,insula-lh,4,0.014960106382978724,0.02082325918762089,EC
sub-001,insula-rh,4,0.01570811170212766,0.02082325918762089,EC
sub-001,lateraloccipital-lh,1,0.021027260638297872,0.02082325918762089,EC
sub-001,lateraloccipital-rh,1,0.01969747340425532,0.02082325918762089,EC
sub-001,lingual-lh,1,0.023105053191489363,0.02082325918762089,EC
sub-001,lingual-rh,1,0.026304853723404256,0.02082325918762089,EC
sub-001,middletemporal-lh,1,0.016663896276595744,0.02082325918762089,EC
sub-001,middletemporal-rh,1,0.02547373670212766,0.02082325918762089,EC
sub-001,parsopercularis-lh,3,0.013214760638297872,0.02082325918762089,EC
sub-001,parsopercularis-rh,3,0.01163563829787234,0.02082325918762089,EC
sub-001,parsorbitalis-lh,3,0.014295212765957447,0.02082325918762089,EC
sub-001,parsorbitalis-rh,3,0.011261635638297872,0.02082325918762089,EC
sub-001,parstriangularis-lh,3,0.010056515957446808,0.02082325918762089,EC
sub-001,parstriangularis-rh,3,0.008851396276595746,0.02082325918762089,EC
sub-001,pericalcarine-lh,1,0.02318816489361702,0.02082325918762089,EC
sub-001,pericalcarine-rh,1,0.023728390957446808,0.02082325918762089,EC
sub-001,posteriorcingulate-lh,2,0.019988364361702128,0.02082325918762089,EC
sub-001,posteriorcingulate-rh,2,0.020279255319148936,0.02082325918762089,EC
sub-001,precentral-lh,3,0.016497672872340427,0.02082325918762089,EC
sub-001,precentral-rh,3,0.020487034574468085,0.02082325918762089,EC
sub-001,precuneus-lh,2,0.023146609042553192,0.02082325918762089,EC
sub-001,precuneus-rh,2,0.02352061170212766,0.02082325918762089,EC
sub-001,rostralmiddlefrontal-lh,3,0.02140126329787234,0.02082325918762089,EC
sub-001,rostralmiddlefrontal-rh,3,0.012342087765957447,0.02082325918762089,EC
sub-001,superiorfrontal-lh,3,0.016373005319148936,0.02082325918762089,EC
sub-001,superiorfrontal-rh,3,0.022440159574468085,0.02082325918762089,EC
sub-001,superiorparietal-lh,2,0.023769946808510637,0.02082325918762089,EC
sub-001,superiorparietal-rh,2,0.022357047872340427,0.02082325918762089,EC
sub-001,supramarginal-lh,2,0.018409242021276594,0.02082325918762089,EC
sub-001,supramarginal-rh,2,0.06860871010638298,0.02082325918762089,EC
sub-002,bankssts-lh,1,0.1219556924882629,0.06402465455612463,EC
sub-002,bankssts-rh,1,0.06308685446009389,0.06402465455612463,EC
sub-002,caudalmiddlefrontal-lh,3,0.15023474178403756,0.06402465455612463,EC
sub-002,caudalmiddlefrontal-rh,3,0.1146200117370892,0.06402465455612463,EC
sub-002,cuneus-lh,1,0.02750880281690141,0.06402465455612463,EC
sub-002,cuneus-rh,1,0.016578638497652582,0.06402465455612463,EC
sub-002,frontalpole-lh,3,0.14000146713615025,0.06402465455612463,EC
sub-002,frontalpole-rh,3,0.09870158450704225,0.06402465455612463,EC
sub-002,fusiform-lh,1,0.05747505868544601,0.06402465455612463,EC
sub-002,fusiform-rh,1,0.030773180751173707,0.06402465455612463,EC
sub-002,inferiorparietal-lh,2,0.10090228873239436,0.06402465455612463,EC
sub-002,inferiorparietal-rh,2,0.08036238262910798,0.06402465455612463,EC
sub-002,inferiortemporal-lh,1,0.03953931924882629,0.06402465455612463,EC
sub-002,inferiortemporal-rh,1,0.02446449530516432,0.06402465455612463,EC
sub-002,insula-lh,4,0.04581132629107981,0.06402465455612463,EC
sub-002,insula-rh,4,0.04661825117370892,0.06402465455612463,EC
sub-002,lateraloccipital-lh,1,0.03770539906103287,0.06402465455612463,EC
sub-002,lateraloccipital-rh,1,0.018779342723004695,0.06402465455612463,EC
sub-002,lingual-lh,1,0.03425762910798122,0.06402465455612463,EC
sub-002,lingual-rh,1,0.03851232394366197,0.06402465455612463,EC
sub-002,middletemporal-lh,1,0.0481587441314554,0.06402465455612463,EC
sub-002,middletemporal-rh,1,0.04720510563380282,0.06402465455612463,EC
sub-002,parsopercularis-lh,3,0.023364143192488262,0.06402465455612463,EC
sub-002,parsopercularis-rh,3,0.07339348591549295,0.06402465455612463,EC
sub-002,parsorbitalis-lh,3,0.0707893192488263,0.06402465455612463,EC
sub-002,parsorbitalis-rh,3,0.052230046948356805,0.06402465455612463,EC
sub-002,parstriangularis-lh,3,0.05296361502347418,0.06402465455612463,EC
sub-002,parstriangularis-rh,3,0.05046948356807512,0.06402465455612463,EC
sub-002,pericalcarine-lh,1,0.05230340375586855,0.06402465455612463,EC
sub-002,pericalcarine-rh,1,0.0698356807511737,0.06402465455612463,EC
sub-002,posteriorcingulate-lh,2,0.035578051643192485,0.06402465455612463,EC
sub-002,posteriorcingulate-rh,2,0.028829225352112676,0.06402465455612463,EC
sub-002,precentral-lh,3,0.14909771126760563,0.06402465455612463,EC
sub-002,precentral-rh,3,0.03304724178403756,0.06402465455612463,EC
sub-002,precuneus-lh,2,0.08461707746478873,0.06402465455612463,EC
sub-002,precuneus-rh,2,0.04713174882629108,0.06402465455612463,EC
sub-002,rostralmiddlefrontal-lh,3,0.022887323943661973,0.06402465455612463,EC
sub-002,rostralmiddlefrontal-rh,3,0.03752200704225352,0.06402465455612463,EC
sub-002,superiorfrontal-lh,3,0.051056338028169015,0.06402465455612463,EC
sub-002,superiorfrontal-rh,3,0.043170481220657274,0.06402465455612463,EC
sub-002,superiorparietal-lh,2,0.12987822769953053,0.06402465455612463,EC
sub-002,superiorparietal-rh,2,0.06422388497652583,0.06402465455612463,EC
sub-002,supramarginal-lh,2,0.17400234741784038,0.06402465455612463,EC
sub-002,supramarginal-rh,2,0.08744131455399061,0.06402465455612463,EC
sub-004,bankssts-lh,1,0.027885765550239236,0.04003778816876903,EC
sub-004,bankssts-rh,1,0.03158642344497608,0.04003778816876903,EC
sub-004,caudalmiddlefrontal-lh,3,0.04721142344497608,0.04003778816876903,EC
