Subject,ROI,Cluster,ACW_s,ACW_grand_mean_s,Condition
sub-002,parstriangularis-lh,3,0.024188701923076924,0.05630429141171329,EO
sub-002,parstriangularis-rh,3,0.03925030048076923,0.05630429141171329,EO
sub-002,pericalcarine-lh,1,0.05521334134615385,0.05630429141171329,EO
sub-002,pericalcarine-rh,1,0.09585336538461539,0.05630429141171329,EO
sub-002,posteriorcingulate-lh,2,0.030949519230769232,0.05630429141171329,EO
sub-002,posteriorcingulate-rh,2,0.031174879807692308,0.05630429141171329,EO
sub-002,precentral-lh,3,0.14441856971153846,0.05630429141171329,EO
sub-002,precentral-rh,3,0.031663161057692304,0.05630429141171329,EO
sub-002,precuneus-lh,2,0.11429537259615384,0.05630429141171329,EO
sub-002,precuneus-rh,2,0.056978665865384616,0.05630429141171329,EO
sub-002,rostralmiddlefrontal-lh,3,0.018216646634615384,0.05630429141171329,EO
sub-002,rostralmiddlefrontal-rh,3,0.021935096153846152,0.05630429141171329,EO
sub-002,superiorfrontal-lh,3,0.04514723557692308,0.05630429141171329,EO
sub-002,superiorfrontal-rh,3,0.04758864182692308,0.05630429141171329,EO
sub-002,superiorparietal-lh,2,0.13097205528846154,0.05630429141171329,EO
sub-002,superiorparietal-rh,2,0.07767427884615384,0.05630429141171329,EO
sub-002,supramarginal-lh,2,0.15482271634615385,0.05630429141171329,EO
sub-002,supramarginal-rh,2,0.04270582932692308,0.05630429141171329,EO
sub-004,bankssts-lh,1,0.019134963768115944,0.02119016249451032,EO
sub-004,bankssts-rh,1,0.017361111111111112,0.02119016249451032,EO
sub-004,caudalmiddlefrontal-lh,3,0.028457125603864736,0.02119016249451032,EO
sub-004,caudalmiddlefrontal-rh,3,0.03121225845410628,0.02119016249451032,EO
sub-004,cuneus-lh,1,0.01588919082125604,0.02119016249451032,EO
sub-004,cuneus-rh,1,0.01585144927536232,0.02119016249451032,EO
sub-004,frontalpole-lh,3,0.01585144927536232,0.02119016249451032,EO
sub-004,frontalpole-rh,3,0.01939915458937198,0.02119016249451032,EO
sub-004,fusiform-lh,1,0.016153381642512076,0.02119016249451032,EO
sub-004,fusiform-rh,1,0.028155193236714976,0.02119016249451032,EO
sub-004,inferiorparietal-lh,2,0.025513285024154588,0.02119016249451032,EO
sub-004,inferiorparietal-rh,2,0.0830691425120773,0.02119016249451032,EO
sub-004,inferiortemporal-lh,1,0.01596467391304348,0.02119016249451032,EO
sub-004,inferiortemporal-rh,1,0.01566274154589372,0.02119016249451032,EO
sub-004,insula-lh,4,0.0158137077294686,0.02119016249451032,EO
sub-004,insula-rh,4,0.016040157004830916,0.02119016249451032,EO
sub-004,lateraloccipital-lh,1,0.015625,0.02119016249451032,EO
sub-004,lateraloccipital-rh,1,0.017851751207729468,0.02119016249451032,EO
sub-004,lingual-lh,1,0.022380736714975844,0.02119016249451032,EO
sub-004,lingual-rh,1,0.026645531400966184,0.02119016249451032,EO
sub-004,middletemporal-lh,1,0.01592693236714976,0.02119016249451032,EO
sub-004,middletemporal-rh,1,0.018380132850241544,0.02119016249451032,EO
sub-004,parsopercularis-lh,3,0.020116243961352656,0.02119016249451032,EO
sub-004,parsopercularis-rh,3,0.013209541062801932,0.02119016249451032,EO
sub-004,parsorbitalis-lh,3,0.015247584541062802,0.02119016249451032,EO
sub-004,parsorbitalis-rh,3,0.014983393719806764,0.02119016249451032,EO
sub-004,parstriangularis-lh,3,0.008189915458937198,0.02119016249451032,EO
sub-004,parstriangularis-rh,3,0.012266002415458938,0.02119016249451032,EO
sub-004,pericalcarine-lh,1,0.021890096618357488,0.02119016249451032,EO
sub-004,pericalcarine-rh,1,0.02702294685990338,0.02119016249451032,EO
sub-004,posteriorcingulate-lh,2,0.021701388888888888,0.02119016249451032,EO
sub-004,posteriorcingulate-rh,2,0.022607185990338164,0.02119016249451032,EO
sub-004,precentral-lh,3,0.0196256038647343,0.02119016249451032,EO
sub-004,precentral-rh,3,0.021663647342995168,0.02119016249451032,EO
sub-004,precuneus-lh,2,0.01921044685990338,0.02119016249451032,EO
sub-004,precuneus-rh,2,0.0198143115942029,0.02119016249451032,EO
sub-004,rostralmiddlefrontal-lh,3,0.015285326086956522,0.02119016249451032,EO
